ubicacion,TOTAL_PROCESOS,coordenadas
"CHOCONTÁ, CUNDINAMARCA",41,"Chocontá, Almeidas, Cundinamarca, RAP (Especial) Central, Colombia"
"CHÍA, CUNDINAMARCA",1352,"Chía, Sabana Centro, Cundinamarca, RAP (Especial) Central, Colombia"
"CHÍQUIZA, BOYACA",4,"Chíquiza, Centro, Boyacá, RAP (Especial) Central, Colombia"
"CICUCO, BOLÍVAR",6,"Cicuco, Isla de Mompós, Bolívar, RAP Caribe, Colombia"
"CIMITARRA, SANTANDER",37,"Cimitarra, Santander, RAP Gran Santander, Colombia"
"CIRCASIA, QUINDÍO",37,"Circasia, Norte, Quindío, RAP Eje Cafetero, 631001, Colombia"
"CISNEROS, ANTIOQUIA",26,"Cisneros, Nordeste, Antioquia, RAP del Agua y la Montaña, Colombia"
"CIUDAD BOLÍVAR, ANTIOQUIA",26,"Ciudad Bolívar, Suroeste, Antioquia, RAP del Agua y la Montaña, 056460, Colombia"
"CIÉNAGA DE ORO, CÓRDOBA",60,"Ciénaga de Oro, Medio Sinú, Córdoba, RAP Caribe, 130004, Colombia"
"CIÉNAGA, MAGDALENA",189,"Ciénaga, Magdalena, RAP Caribe, Colombia"
"CIÉNEGA, BOYACA",2,"Ciénega, Márquez, Boyacá, RAP (Especial) Central, Colombia"
"CLEMENCIA, BOLÍVAR",5,"Clemencia, Dique, Bolívar, RAP Caribe, Colombia"
"COCORNÁ, ANTIOQUIA",22,"Cocorná, Oriente, Antioquia, RAP del Agua y la Montaña, 054440, Colombia"
"COELLO, TOLIMA",10,"Coello, Centro, Tolima, RAP (Especial) Central, Colombia"
"COGUA, CUNDINAMARCA",64,"Cogua, Sabana Centro, RAP (Especial) Central, Colombia"
"COLOMBIA, HUILA",5,"Huila, RAP (Especial) Central, Colombia"
"COLOSO, SUCRE",4,"Colosó, Montes de María, Sucre, RAP Caribe, Colombia"
"COLÓN, NARIÑO",5,"Colón (Génova), Río Mayo, Nariño, RAP Pacífico, Colombia"
"COLÓN, PUTUMAYO",8,"Colón, Putumayo, RAP Amazonía, Colombia"
"CONCEPCIÓN, ANTIOQUIA",6,"Concepción, Oriente, Antioquia, RAP del Agua y la Montaña, Colombia"
"CONCEPCIÓN, SANTANDER",2,"Concepción, García Rovira, Santander, RAP Gran Santander, Colombia"
"CONCORDIA, ANTIOQUIA",7,"Concordia, Suroeste, Antioquia, RAP del Agua y la Montaña, Colombia"
"CONCORDIA, MAGDALENA",1,"Concordia, Magdalena, RAP Caribe, 476030, Colombia"
