ubicacion,TOTAL_PROCESOS,coordenadas
"SALAMINA, CALDAS",25,"Salamina, Norte, Caldas, RAP del Agua y la Montaña, Colombia"
"SALAMINA, MAGDALENA",2,"Salamina, Magdalena, RAP Caribe, Colombia"
"SALAZAR, NORTE DE SANTANDER",16,"Salazar, Centro, Norte de Santander, RAP Gran Santander, Colombia"
"SALDAÑA, TOLIMA",35,"Saldaña, Suroriente, Tolima, RAP (Especial) Central, Colombia"
"SALENTO, QUINDÍO",18,"Salento, Fría, Quindío, RAP Eje Cafetero, Colombia"
"SALGAR, ANTIOQUIA",7,"Salgar, Suroeste, Antioquia, RAP del Agua y la Montaña, Colombia"
"SAMACÁ, BOYACA",28,"Samacá, Centro, Boyacá, RAP (Especial) Central, Colombia"
"SAMANIEGO, NARIÑO",21,"Samaniego, Los Abades, Nariño, RAP Pacífico, Colombia"
"SAMANÁ, CALDAS",10,"Samaná, Magdalena Caldense, Caldas, RAP del Agua y la Montaña, Colombia"
"SAMPUÉS, SUCRE",53,"Sampués, Sabanas, Sucre, RAP Caribe, 705070, Colombia"
"SAN AGUSTÍN, HUILA",59,"San Agustín, Sur, Huila, RAP (Especial) Central, 418060, Colombia"
"SAN ALBERTO, CESAR",42,"San Alberto, Cesar, RAP Caribe, Colombia"
"SAN ANDRÉS DE CUERQUÍA, ANTIOQUIA",9,"San Andrés de Cuerquia, Norte, Antioquia, RAP del Agua y la Montaña, 052040, Colombia"
"SAN ANDRÉS SOTAVENTO, CÓRDOBA",19,"San Andrés de Sotavento, Sabanas, Córdoba, RAP Caribe, Colombia"
"SAN ANDRÉS, ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",196,"Isla de San Andrés, San Andrés, Archipiélago de San Andrés, Providencia y Santa Catalina, Colombia"
"SAN ANDRÉS, SANTANDER",3,"San Andrés, García Rovira, Santander, RAP Gran Santander, 682001, Colombia"
"SAN ANTERO, CÓRDOBA",29,"San Antero, Costanera, Córdoba, RAP Caribe, Colombia"
"SAN ANTONIO DEL TEQUENDAMA, CUNDINAMARCA",29,"San Antonio del Tequendama, Tequendama, Cundinamarca, RAP (Especial) Central, 252620, Colombia"
"SAN ANTONIO, TOLIMA",23,"San Antonio, Sur, Tolima, RAP (Especial) Central, Colombia"
"SAN BENITO ABAD, SUCRE",15,"San Benito Abad, San Jorge, Sucre, RAP Caribe, Colombia"
"SAN BENITO, SANTANDER",1,"San Benito, Vélez, Santander, RAP Gran Santander, Colombia"
"SAN BERNARDO DEL VIENTO, CÓRDOBA",28,"San Bernardo del Viento, Costanera, Córdoba, RAP Caribe, Colombia"
"SAN BERNARDO, CUNDINAMARCA",13,"San Bernardo, Sumapaz, Cundinamarca, RAP (Especial) Central, Colombia"
"SAN BERNARDO, NARIÑO",5,"San Bernardo, Río Mayo, Nariño, RAP Pacífico, Colombia"
"SAN CALIXTO, NORTE DE SANTANDER",16,"San Calixto, Occidente, Norte de Santander, RAP Gran Santander, Colombia"
"SAN CARLOS DE GUAROA, META",19,"San Carlos de Guaroa, Piedemonte, Meta, RAP (Especial) Central, Colombia"
"SAN CARLOS, ANTIOQUIA",17,"San Carlos, Oriente, Antioquia, RAP del Agua y la Montaña, Colombia"
"SAN CARLOS, CÓRDOBA",13,"San Carlos, Medio Sinú, Córdoba, RAP Caribe, Colombia"
"SAN CAYETANO, CUNDINAMARCA",2,"San Cayetano, Provincia de Rionegro, RAP (Especial) Central, Colombia"
"SAN CAYETANO, NORTE DE SANTANDER",8,"San Cayetano, Oriental, RAP Gran Santander, Colombia"
"SAN CRISTÓBAL, BOLÍVAR",6,"San Cristóbal, Dique, Bolívar, RAP Caribe, Colombia"
"SAN DIEGO, CESAR",19,"San Diego, Cesar, RAP Caribe, Colombia"
"SAN EDUARDO, BOYACA",4,"San Eduardo, Lengupá, Boyacá, RAP (Especial) Central, Colombia"
"SAN ESTANISLAO, BOLÍVAR",13,"San Estanislao, Dique, Bolívar, RAP Caribe, Colombia"
"SAN FERNANDO, BOLÍVAR",3,"San Fernando, Isla de Mompós, Bolívar, RAP Caribe, Colombia"
"SAN FRANCISCO, ANTIOQUIA",5,"San Francisco, Oriente, Antioquia, RAP del Agua y la Montaña, 054810, Colombia"
"SAN FRANCISCO, CUNDINAMARCA",35,"San Francisco, Gualivá, RAP (Especial) Central, 253601, Colombia"
"SAN FRANCISCO, PUTUMAYO",7,"San Francisco, Putumayo, RAP Amazonía, Colombia"
"SAN GIL, SANTANDER",276,"San Gil, Guanentá, Santander, RAP Gran Santander, Colombia"
"SAN JACINTO DEL CAUCA, BOLÍVAR",3,"San Jacinto del Cauca, Mojana, Bolívar, RAP Caribe, Colombia"
"SAN JACINTO, BOLÍVAR",26,"San Jacinto, Montes de María, Bolívar, RAP Caribe, Colombia"
"SAN JERÓNIMO, ANTIOQUIA",29,"San Jerónimo, Occidente, Antioquia, RAP del Agua y la Montaña, 051070, Colombia"
"SAN JOAQUÍN, SANTANDER",6,"San Joaquín, Guanentá, Santander, RAP Gran Santander, Colombia"
"SAN JOSE DE LA MONTAÑA, ANTIOQUIA",8,"San José de la Montaña, Norte, Antioquia, RAP del Agua y la Montaña, Colombia"
"SAN JOSÉ DE MIRANDA, SANTANDER",6,"San José de Miranda, García Rovira, Santander, RAP Gran Santander, 682027, Colombia"
"SAN JOSÉ DE PARE, BOYACA",7,"San José de Pare, Ricaurte, Boyacá, RAP (Especial) Central, 154460, Colombia"
"SAN JOSÉ DEL FRAGUA, CAQUETÁ",10,"San José del Fragua, Caquetá, RAP Amazonía, Colombia"
"SAN JOSÉ DEL GUAVIARE, GUAVIARE",210,"San José del Guaviare, Guaviare, RAP Amazonía, 950001, Colombia"
"SAN JOSÉ DEL PALMAR, CHOCÓ",3,"San José del Palmar, San Juan, Chocó, RAP Pacífico, Colombia"
"SAN JOSÉ, CALDAS",4,"San José, Bajo Occidente, Caldas, RAP del Agua y la Montaña, Colombia"
"SAN JUAN DE ARAMA, META",11,"San Juan de Arama, Ariari, Meta, RAP (Especial) Central, Colombia"
"SAN JUAN DE BETULIA, SUCRE",15,"San Juan de Betulia, Sabanas, Sucre, RAP Caribe, Colombia"
"SAN JUAN DE RÍO SECO, CUNDINAMARCA",17,
"SAN JUAN DE URABA, ANTIOQUIA",10,"San Juan de Urabá, Urabá, Antioquia, RAP del Agua y la Montaña, Colombia"
"SAN JUAN DEL CESAR, LA GUAJIRA",57,"San Juan del Cesar, La Guajira, RAP Caribe, 444030, Colombia"
"SAN JUAN NEPOMUCENO, BOLÍVAR",39,"San Juan Nepomuceno, Montes de María, Bolívar, RAP Caribe, Colombia"
"SAN LORENZO, NARIÑO",6,"San Lorenzo, Juanambú, Nariño, RAP Pacífico, Colombia"
"SAN LUIS DE GACENO, BOYACA",5,"San Luís de Gaceno, Neira, Boyacá, RAP (Especial) Central, Colombia"
"SAN LUIS DE PALENQUE, CASANARE",9,"San Luis de Palenque, Casanare, RAP Llanos, Colombia"
"SAN LUIS DE SINCÉ, SUCRE",55,"San Luis, Sincé, Montes de María, Sucre, RAP Caribe, Colombia"
"SAN LUIS, ANTIOQUIA",22,"San Luis, Oriente, Antioquia, RAP del Agua y la Montaña, Colombia"
"SAN LUIS, TOLIMA",28,"San Luis, Centro, Tolima, RAP (Especial) Central, Colombia"
"SAN MARCOS, SUCRE",68,"San Marcos, San Jorge, Sucre, RAP Caribe, Colombia"
"SAN MARTÍN DE LOBA, BOLÍVAR",4,"San Martín de Loba, Bolívar, RAP Caribe, Colombia"
"SAN MARTÍN, CESAR",24,"San Martín, Cesar, RAP Caribe, Colombia"
"SAN MARTÍN, META",53,"San Martín, Piedemonte, Meta, RAP (Especial) Central, Colombia"
"SAN MATEO, BOYACA",4,"San Mateo, Norte, Boyacá, RAP (Especial) Central, 151201, Colombia"
"SAN MIGUEL DE SEMA, BOYACA",5,"San Miguel de Sema, Occidente, Boyacá, RAP (Especial) Central, 153820, Colombia"
"SAN MIGUEL, PUTUMAYO",14,"San Miguel (La Dorada), Putumayo, RAP Amazonía, Colombia"
"SAN MIGUEL, SANTANDER",1,"San Miguel, García Rovira, Santander, RAP Gran Santander, Colombia"
"SAN ONOFRE, SUCRE",28,"San Onofre, Morrosquillo, Sucre, RAP Caribe, 707017, Colombia"
"SAN PABLO DE BORBUR, BOYACA",1,"San Pablo de Borbur, Occidente, Boyacá, RAP (Especial) Central, Colombia"
"SAN PABLO, BOLÍVAR",14,"San Pablo, Bolívar, RAP Caribe, Colombia"
"SAN PABLO, NARIÑO",6,"San Pablo, Río Mayo, Nariño, RAP Pacífico, Colombia"
"SAN PEDRO DE CARTAGO, NARIÑO",4,"San Pedro de Cartago, Juanambú, Nariño, RAP Pacífico, Colombia"
"SAN PEDRO DE URABA, ANTIOQUIA",14,"San Pedro de Urabá, Urabá, Antioquia, RAP del Agua y la Montaña, Colombia"
"SAN PEDRO, ANTIOQUIA",76,"Vereda La San Pedro, Santa Rosa de Osos, Norte, Antioquia, RAP del Agua y la Montaña, Colombia"
"SAN PEDRO, SUCRE",9,"San Pedro, Montes de María, Sucre, RAP Caribe, Colombia"
"SAN PEDRO, VALLE DEL CAUCA",28,"San Pedro, Centro, Valle del Cauca, RAP Pacífico, Colombia"
"SAN PELAYO, CÓRDOBA",33,"San Pelayo, Medio Sinú, Córdoba, RAP Caribe, Colombia"
"SAN RAFAEL, ANTIOQUIA",23,"San Rafael, Oriente, Antioquia, RAP del Agua y la Montaña, 053830, Colombia"
"SAN ROQUE, ANTIOQUIA",19,"San Roque, Nordeste, Antioquia, RAP del Agua y la Montaña, Colombia"
"SAN SEBASTIÁN DE BUENAVISTA, MAGDALENA",12,"San Sebastián de Buenavista, Magdalena, RAP Caribe, 473001, Colombia"
"SAN SEBASTIÁN, CAUCA",5,"San Sebastián, Macizo, Cauca, RAP Pacífico, Colombia"
"SAN VICENTE DE CHUCURÍ, SANTANDER",30,"San Vicente de Chucurí, Yariguíes, Santander, RAP Gran Santander, Colombia"
"SAN VICENTE DEL CAGUÁN, CAQUETÁ",40,"San Vicente del Caguán, Caquetá, RAP Amazonía, 182010, Colombia"
"SAN VICENTE, ANTIOQUIA",24,"San Vicente, Oriente, Antioquia, RAP del Agua y la Montaña, Colombia"
"SAN ZENÓN, MAGDALENA",2,"San Zenón, Magdalena, RAP Caribe, Colombia"
"SANDONÁ, NARIÑO",24,"Sandoná, Occidente, Nariño, RAP Pacífico, Colombia"
"SANTA ANA, MAGDALENA",16,"Santa Ana, Magdalena, RAP Caribe, Colombia"
"SANTA BARBARA, ANTIOQUIA",24,"Santa Bárbara, Suroeste, Antioquia, RAP del Agua y la Montaña, Colombia"
"SANTA BÁRBARA DE PINTO, MAGDALENA",3,"Santa Bárbara de Pinto, Magdalena, RAP Caribe, Colombia"
"SANTA BÁRBARA, NARIÑO",5,"Santa Bárbara, Sanquianga, Nariño, RAP Pacífico, Colombia"
"SANTA BÁRBARA, SANTANDER",1,"Santa Bárbara, Metropolitana, Santander, RAP Gran Santander, Colombia"
"SANTA CATALINA, BOLÍVAR",9,"Santa Catalina, Dique, Bolívar, RAP Caribe, Colombia"
"SANTA HELENA DEL OPÓN, SANTANDER",1,"Santa Helena del Opón, Vélez, Santander, RAP Gran Santander, Colombia"
"SANTA ISABEL, TOLIMA",4,"Santa Isabel, Nevados, Tolima, RAP (Especial) Central, Colombia"
"SANTA LUCÍA, ATLÁNTICO",2,"Santa Lucía, Atlántico, RAP Caribe, Colombia"
"SANTA MARTA, MAGDALENA",2978,"Perímetro Urbano Santa Marta, Santa Marta, Magdalena, RAP Caribe, Colombia"
"SANTA MARÍA, BOYACA",7,"Santa María, Neira, Boyacá, RAP (Especial) Central, Colombia"
"SANTA MARÍA, HUILA",15,"Santa María, Norte, Huila, RAP (Especial) Central, Colombia"
"SANTA ROSA DE CABAL, RISARALDA",292,"Santa Rosa de Cabal, Risaralda, RAP Eje Cafetero, 661020, Colombia"
"SANTA ROSA DE OSOS, ANTIOQUIA",70,"Santa Rosa de Osos, Norte, Antioquia, RAP del Agua y la Montaña, Colombia"
"SANTA ROSA DE VITERBO, BOYACA",33,"Santa Rosa de Viterbo, Tundama, Boyacá, RAP (Especial) Central, 150480, Colombia"
"SANTA ROSA DEL SUR, BOLÍVAR",26,"Santa Rosa del Sur, Bolívar, RAP Caribe, Colombia"
"SANTA ROSA, BOLÍVAR",20,"Santa Rosa, Parroquia Unare, Municipio Caroní, Bolívar, Venezuela"
"SANTA ROSA, CAUCA",2,"Santa Rosa, Macizo, Cauca, RAP Pacífico, Colombia"
"SANTA ROSALÍA, VICHADA",2,"Santa Rosalía, Vichada, RAP Llanos, Colombia"
"SANTA SOFÍA, BOYACA",4,"Santa Sofía, Ricaurte, Boyacá, RAP (Especial) Central, 154240, Colombia"
"SANTACRUZ, NARIÑO",1,"Santacruz, Los Abades, Nariño, RAP Pacífico, Colombia"
"SANTAFÉ DE ANTIOQUIA, ANTIOQUIA",42,"Santa Fe de Antioquia, Occidente, Antioquia, RAP del Agua y la Montaña, Colombia"
"SANTANA, BOYACA",9,"Santana, Ricaurte, Boyacá, RAP (Especial) Central, Colombia"
"SANTANDER DE QUILICHAO, CAUCA",396,"Santander de Quilichao, Norte, Cauca, RAP Pacífico, 191030, Colombia"
"SANTIAGO DE TOLÚ, SUCRE",75,"Tolú, Morrosquillo, Sucre, RAP Caribe, Colombia"
"SANTIAGO, NORTE DE SANTANDER",2,"Santiago, Centro, Norte de Santander, RAP Gran Santander, Colombia"
"SANTIAGO, PUTUMAYO",7,"Santiago, Putumayo, RAP Amazonía, Colombia"
"SANTO DOMINGO, ANTIOQUIA",7,"Santo Domingo, Nordeste, Antioquia, RAP del Agua y la Montaña, Colombia"
"SANTO TOMÁS, ATLÁNTICO",58,"Santo Tomás, Atlántico, RAP Caribe, Colombia"
"SANTUARIO, RISARALDA",21,"Santuario, Vertiente Occidental, Risaralda, RAP Eje Cafetero, Colombia"
"SAPUYES, NARIÑO",5,"Sapuyes, La Sabana, Nariño, RAP Pacífico, Colombia"
"SARAVENA, ARAUCA",76,"Saravena, Arauca, RAP Llanos, 815010, Colombia"
"SARDINATA, NORTE DE SANTANDER",22,"Sardinata, Norte, Norte de Santander, RAP Gran Santander, Colombia"
"SASAIMA, CUNDINAMARCA",21,"Sasaima, Gualivá, Cundinamarca, RAP (Especial) Central, Colombia"
"SATIVANORTE, BOYACA",3,"Sativanorte, Norte, Boyacá, RAP (Especial) Central, Colombia"
"SEGOVIA, ANTIOQUIA",49,"Segovia, Nordeste, Antioquia, RAP del Agua y la Montaña, 052810, Colombia"
"SESQUILÉ, CUNDINAMARCA",18,"Sesquilé, Almeidas, Cundinamarca, RAP (Especial) Central, Colombia"
"SEVILLA, VALLE DEL CAUCA",88,"Sevilla, Nororiente, Valle del Cauca, RAP Pacífico, 762530, Colombia"
"SIACHOQUE, BOYACA",4,"Siachoque, Centro, Boyacá, RAP (Especial) Central, 153460, Colombia"
"SIBATÉ, CUNDINAMARCA",162,"Sibaté, Soacha, Cundinamarca, RAP (Especial) Central, Colombia"
"SIBUNDOY, PUTUMAYO",53,"Sibundoy, Putumayo, RAP Amazonía, 861020, Colombia"
"SILOS, NORTE DE SANTANDER",3,"Silos, Suroccidente, Norte de Santander, RAP Gran Santander, Colombia"
"SILVANIA, CUNDINAMARCA",50,"Silvania, Sumapaz, Cundinamarca, RAP (Especial) Central, Colombia"
"SILVIA, CAUCA",30,"Silvia, Centro, Cauca, RAP Pacífico, Colombia"
"SIMACOTA, SANTANDER",16,"Simacota, Comunera, Santander, RAP Gran Santander, 683561, Colombia"
"SIMIJACA, CUNDINAMARCA",43,"Simijaca, Ubaté, RAP (Especial) Central, Colombia"
"SIMITÍ, BOLÍVAR",13,"Simití, Bolívar, RAP Caribe, Colombia"
"SINCELEJO, SUCRE",1415,"Sincelejo, Montes de María, Sucre, RAP Caribe, 700020, Colombia"
"SIPÍ, CHOCÓ",1,"Sipí, San Juan, Chocó, RAP Pacífico, Colombia"
"SITIONUEVO, MAGDALENA",12,"Sitionuevo, Magdalena, RAP Caribe, Colombia"
"SOACHA, CUNDINAMARCA",3229,"Soacha, Cundinamarca, RAP (Especial) Central, 25, Colombia"
"SOATÁ, BOYACA",22,"Soatá, Norte, Boyacá, RAP (Especial) Central, Colombia"
"SOCHA, BOYACA",4,"Socha, Valderrama, Boyacá, RAP (Especial) Central, Colombia"
"SOCORRO, SANTANDER",134,"El Socorro, Comunera, Santander, RAP Gran Santander, 683551, Colombia"
"SOCOTÁ, BOYACA",8,"Socotá, Valderrama, Boyacá, RAP (Especial) Central, Colombia"
"SOGAMOSO, BOYACA",482,"Sogamoso, Sugamuxi, Boyacá, RAP (Especial) Central, 152210, Colombia"
"SOLANO, CAQUETÁ",9,"Solano, Caquetá, RAP Amazonía, Colombia"
"SOLEDAD, ATLÁNTICO",1458,"Soledad, Atlántico, RAP Caribe, Colombia"
"SOLITA, CAQUETÁ",4,"Solita, Caquetá, RAP Amazonía, Colombia"
"SOMONDOCO, BOYACA",6,"Somondoco, Oriente, Boyacá, RAP (Especial) Central, 153037, Colombia"
"SONSON, ANTIOQUIA",19,"Sonsón, Oriente, Antioquia, RAP del Agua y la Montaña, Colombia"
"SOPETRÁN, ANTIOQUIA",23,"Sopetrán, Occidente, Antioquia, RAP del Agua y la Montaña, 051440, Colombia"
"SOPLAVIENTO, BOLÍVAR",5,"Soplaviento, Dique, Bolívar, RAP Caribe, Colombia"
"SOPÓ, CUNDINAMARCA",140,"Sopó, Sabana Centro, Cundinamarca, RAP (Especial) Central, 251001, Colombia"
"SORA, BOYACA",1,"Sora, Centro, Boyacá, RAP (Especial) Central, Colombia"
"SORACÁ, BOYACA",4,"Soracá, Centro, Boyacá, RAP (Especial) Central, Colombia"
"SOTAQUIRÁ, BOYACA",15,"Sotaquirá, Centro, Boyacá, RAP (Especial) Central, Colombia"
"SOTARA, CAUCA",4,"Sotará, Centro, Cauca, RAP Pacífico, Colombia"
"SUAITA, SANTANDER",8,"Suaita, Comunera, Santander, RAP Gran Santander, 683049, Colombia"
"SUAN, ATLÁNTICO",7,"Suan, Atlántico, RAP Caribe, Colombia"
"SUAZA, HUILA",25,"Suaza, Centro, Huila, RAP (Especial) Central, Colombia"
"SUBACHOQUE, CUNDINAMARCA",55,"Río Subachoque, Mosquera, Sabana Occidente, Cundinamarca, RAP (Especial) Central, Colombia"
"SUCRE, CAUCA",1,"Sucre, Sur del Cauca, Cauca, RAP Pacífico, Colombia"
"SUCRE, SANTANDER",5,"Sucre, Vélez, Santander, RAP Gran Santander, Colombia"
"SUCRE, SUCRE",19,"Sucre, La Mojana, Sucre, RAP Caribe, Colombia"
"SUESCA, CUNDINAMARCA",24,"Suesca, Almeidas, Cundinamarca, RAP (Especial) Central, 251048, Colombia"
"SUPATÁ, CUNDINAMARCA",10,"Tierra Nueva, 2PWH+R98 Supatá, Cundinamarca, Calle 4, Supatá, Gualivá, RAP (Especial) Central, 253667, Colombia"
"SUPÍA, CALDAS",23,"Supía, Alto Occidente, Caldas, RAP del Agua y la Montaña, Colombia"
"SURATÁ, SANTANDER",5,"Suratá, Soto Norte, Santander, RAP Gran Santander, Colombia"
"SUSA, CUNDINAMARCA",15,"Susa, Ubaté, Cundinamarca, RAP (Especial) Central, Colombia"
"SUSACÓN, BOYACA",2,"Susacón, Norte, Boyacá, RAP (Especial) Central, Colombia"
"SUTAMARCHÁN, BOYACA",11,"Sutamarchán, Ricaurte, Boyacá, RAP (Especial) Central, 153860, Colombia"
"SUTATAUSA, CUNDINAMARCA",7,"Sutatausa, Ubaté, Cundinamarca, RAP (Especial) Central, Colombia"
"SUTATENZA, BOYACA",2,"Sutatenza, Oriente, Boyacá, RAP (Especial) Central, 153030, Colombia"
"SUÁREZ, CAUCA",15,"Suárez, Norte, Cauca, RAP Pacífico, Colombia"
"SUÁREZ, TOLIMA",9,"Suárez, Suroriente, Tolima, RAP (Especial) Central, Colombia"
"SÁCAMA, CASANARE",4,"Sácama, Casanare, RAP Llanos, 851030, Colombia"
"SÁCHICA, BOYACA",6,"Sáchica, Ricaurte, Boyacá, RAP (Especial) Central, 153880, Colombia"
"TABIO, CUNDINAMARCA",112,"Vía Tabio - Zipaquira, Ciudad de Zipaquirá, Zipaquirá, Ciudad de Zipaquirá, Tabio, Sabana Centro, Cundinamarca, RAP (Especial) Central, 250252, Colombia"
"TADÓ, CHOCÓ",13,"Tadó, San Juan, Chocó, RAP Pacífico, Colombia"
"TALAIGUA NUEVO, BOLÍVAR",5,"Talaigua Nuevo, Isla de Mompós, Bolívar, RAP Caribe, Colombia"
"TAMALAMEQUE, CESAR",6,"Tamalameque, Cesar, RAP Caribe, Colombia"
"TAME, ARAUCA",122,"Tame, Arauca, RAP Llanos, Colombia"
"TAMINANGO, NARIÑO",17,"Taminango, La Cordillera, Nariño, RAP Pacífico, Colombia"
"TANGUA, NARIÑO",11,"Tangua, Centro, Nariño, RAP Pacífico, Colombia"
"TARAZÁ, ANTIOQUIA",19,"Tarazá, Bajo Cauca, Antioquia, RAP del Agua y la Montaña, Colombia"
"TARQUI, HUILA",18,"Tarqui, Centro, Huila, RAP (Especial) Central, 416001, Colombia"
"TARSO, ANTIOQUIA",4,"Tarso, Suroeste, Antioquia, RAP del Agua y la Montaña, Colombia"
"TASCO, BOYACA",5,"Tasco, Valderrama, Boyacá, RAP (Especial) Central, 151660, Colombia"
"TAURAMENA, CASANARE",64,"Tauramena, Casanare, RAP Llanos, 854030, Colombia"
"TAUSA, CUNDINAMARCA",10,"Tausa, Ubaté, RAP (Especial) Central, Colombia"
"TELLO, HUILA",10,"Tello, Norte, Huila, RAP (Especial) Central, Colombia"
"TENA, CUNDINAMARCA",21,"Tena, Tequendama, RAP (Especial) Central, Colombia"
"TENERIFE, MAGDALENA",3,"Tenerife, Magdalena, RAP Caribe, Colombia"
"TENJO, CUNDINAMARCA",133,"Tenjo, Sabana Centro, RAP (Especial) Central, 250207, Colombia"
"TENZA, BOYACA",7,"Tenza, Oriente, Boyacá, RAP (Especial) Central, Colombia"
"TEORAMA, NORTE DE SANTANDER",9,"Teorama, Occidente, Norte de Santander, RAP Gran Santander, 547030, Colombia"
"TERUEL, HUILA",11,"Teruel, Norte, Huila, RAP (Especial) Central, Colombia"
"TESALIA, HUILA",14,"Tesalia, Occidente, Huila, RAP (Especial) Central, 415001, Colombia"
"TIBACUY, CUNDINAMARCA",9,"Tibacuy, Sumapaz, RAP (Especial) Central, Colombia"
"TIBANÁ, BOYACA",11,"Tibaná, Márquez, Boyacá, RAP (Especial) Central, 153260, Colombia"
"TIBASOSA, BOYACA",18,"Tibasosa, Sugamuxi, Boyacá, RAP (Especial) Central, Colombia"
"TIBIRITA, CUNDINAMARCA",4,"Tibirita, Almeidas, RAP (Especial) Central, Colombia"
"TIBÚ, NORTE DE SANTANDER",56,"Tibú, Norte, Norte de Santander, RAP Gran Santander, 548010, Colombia"
"TIERRALTA, CÓRDOBA",59,"Tierralta, Alto Sinú, Córdoba, RAP Caribe, 234501, Colombia"
"TIMANÁ, HUILA",28,"Timaná, Sur, Huila, RAP (Especial) Central, Colombia"
"TIMBIQUÍ, CAUCA",11,"Timbiquí, Pacífico, Cauca, RAP Pacífico, Colombia"
"TIMBÍO, CAUCA",51,"Timbío, Centro, Cauca, RAP Pacífico, Colombia"
"TINJACÁ, BOYACA",7,"Tinjacá, Ricaurte, Boyacá, RAP (Especial) Central, Colombia"
"TIPACOQUE, BOYACA",3,"Tipacoque, Norte, Boyacá, RAP (Especial) Central, Colombia"
"TIQUISIO, BOLÍVAR",10,"Tiquisio, Mojana, Bolívar, RAP Caribe, Colombia"
"TITIRIBÍ, ANTIOQUIA",20,"Titiribí, Suroeste, Antioquia, RAP del Agua y la Montaña, Colombia"
"TOCA, BOYACA",9,"Toca, Centro, Boyacá, RAP (Especial) Central, Colombia"
"TOCAIMA, CUNDINAMARCA",59,"Tocaima, Alto Magdalena, Cundinamarca, RAP (Especial) Central, Colombia"
"TOCANCIPÁ, CUNDINAMARCA",232,"Tocancipá, Sabana Centro, RAP (Especial) Central, Colombia"
"TOGÜÍ, BOYACA",8,"Togüí, Ricaurte, Boyacá, RAP (Especial) Central, Colombia"
"TOLEDO, ANTIOQUIA",13,"Toledo, Norte, Antioquia, RAP del Agua y la Montaña, Colombia"
"TOLEDO, NORTE DE SANTANDER",21,"Toledo, Suroriente, Norte de Santander, RAP Gran Santander, Colombia"
"TOLÚ VIEJO, SUCRE",21,
"TONA, SANTANDER",6,"Tona, Metropolitana, Santander, RAP Gran Santander, 680541, Colombia"
"TOPAIPÍ, CUNDINAMARCA",9,"Topaipí, Provincia de Rionegro, Cundinamarca, RAP (Especial) Central, Colombia"
"TORIBIO, CAUCA",10,"Toribío, Norte, Cauca, RAP Pacífico, Colombia"
"TORO, VALLE DEL CAUCA",13,"Toro, Norte, Valle del Cauca, RAP Pacífico, Colombia"
"TOTORÓ, CAUCA",13,"Totoró, Oriente, Cauca, RAP Pacífico, Colombia"
"TRINIDAD, CASANARE",17,"Trinidad, Casanare, RAP Llanos, 853010, Colombia"
"TRUJILLO, VALLE DEL CAUCA",23,"Trujillo, Centro, Valle del Cauca, RAP Pacífico, Colombia"
"TUBARÁ, ATLÁNTICO",17,"Tubará, Atlántico, RAP Caribe, Colombia"
"TUCHIN, CÓRDOBA",6,"Tuchín, Sabanas, Córdoba, RAP Caribe, Colombia"
"TULUÁ, VALLE DEL CAUCA",916,"Tuluá, Centro, Valle del Cauca, RAP Pacífico, Colombia"
"TUMACO, NARIÑO",130,"Tumaco, Pacífico Sur, Nariño, RAP Pacífico, Colombia"
"TUNJA, BOYACA",1023,"Tunja, Centro, Boyacá, RAP (Especial) Central, 150001, Colombia"
"TUNUNGUÁ, BOYACA",1,"Tununguá, Occidente, Boyacá, RAP (Especial) Central, Colombia"
"TURBACO, BOLÍVAR",270,"Turbaco, Dique, Bolívar, RAP Caribe, Colombia"
"TURBANÁ, BOLÍVAR",21,"Turbaná, Dique, Bolívar, RAP Caribe, Colombia"
"TURBO, ANTIOQUIA",109,"Turbo, Urabá, Antioquia, RAP del Agua y la Montaña, 057868, Colombia"
"TURMEQUÉ, BOYACA",9,"Turmequé, Márquez, Boyacá, RAP (Especial) Central, Colombia"
"TUTA, BOYACA",13,"Tuta, Centro, Boyacá, RAP (Especial) Central, 150407, Colombia"
"TÁMARA, CASANARE",9,"Támara, Casanare, RAP Llanos, Colombia"
"TÁMESIS, ANTIOQUIA",24,"Támesis, Suroeste, Antioquia, RAP del Agua y la Montaña, Colombia"
"TÓPAGA, BOYACA",3,"Tópaga, Sugamuxi, Boyacá, RAP (Especial) Central, Colombia"
"TÚQUERRES, NARIÑO",63,"Túquerres, La Sabana, Nariño, RAP Pacífico, Colombia"
"UBALÁ, CUNDINAMARCA",6,"Ubalá, Guavio, Cundinamarca, RAP (Especial) Central, Colombia"
"UBAQUE, CUNDINAMARCA",10,"Ubaque, Oriente, Cundinamarca, RAP (Especial) Central, Colombia"
"ULLOA, VALLE DEL CAUCA",7,"Ulloa, Norte, Valle del Cauca, RAP Pacífico, Colombia"
"UMBITA, BOYACA",8,"Úmbita, Márquez, Boyacá, RAP (Especial) Central, Colombia"
"UNE, CUNDINAMARCA",16,"Une, Oriente, Cundinamarca, RAP (Especial) Central, Colombia"
"UNGUÍA, CHOCÓ",6,"Unguía, Darién, Chocó, RAP Pacífico, 278030, Colombia"
"UNIÓN PANAMERICANA, CHOCÓ",12,"Las Ánimas, San Juan, Chocó, RAP Pacífico, Colombia"
"URAMITA, ANTIOQUIA",4,"Uramita, Occidente, Antioquia, RAP del Agua y la Montaña, Colombia"
"URIBE, META",4,"Uribe, Ariari, Meta, RAP (Especial) Central, Colombia"
